PO_NUMBER,PO_RELEASE,ITEM_CODE,DESCRIPTION,UOM,INV_UNIT_PRICE,INV_CURRENCY_CODE,INVOICE_NUM,INVOICE_DATE
1319,142,BAM7KDT008EA,CORNER GUARD (50x50x1000 mm.),EACH,6,THB,IV6703008,3/1/2024
1319,142,BAM7KDT009EA,CORNER GUARD (50x50x500 mm.),EACH,2.9100000858306885,THB,IV6703008,3/1/2024
1319,142,BAM7KDT010EA,CORNER GUARD (50x50x780 mm),EACH,4.510000228881836,THB,IV6703008,3/1/2024
1319,143,BAM7KDT010EA,CORNER GUARD (50x50x780 mm),EACH,4.510000228881836,THB,IV6703009,3/1/2024
1319,142,BAM7KDT014EA,CORNER GAURD (50x50x600 MM.),EACH,3.4700000286102295,THB,IV6703008,3/1/2024
1390,186,BAM7XAT002EA,PALLET TREAT (1100x1160x116 mm.) General Export,EACH,375,THB,IV6703010,3/1/2024
1390,186,BAM7XAT002EA,PALLET TREAT (1100x1160x116 mm.) General Export,EACH,375,THB,IV6703095,3/6/2024
1390,186,BAM7XAT002EA,PALLET TREAT (1100x1160x116 mm.) General Export,EACH,375,THB,IV6703159,3/9/2024
1390,186,BAM7XAT002EA,PALLET TREAT (1100x1160x116 mm.) General Export,EACH,375,THB,IV6703172,3/11/2024
1390,187,BAM7XAT002EA,PALLET TREAT (1100x1160x116 mm.) General Export,EACH,375,THB,IV6703301,3/18/2024
1390,187,BAM7XAT002EA,PALLET TREAT (1100x1160x116 mm.) General Export,EACH,375,THB,IV6703425,3/25/2024
1390,186,BAM7XAT0030A,PALLET TREAT (1020x1220x127 mm.) BXU (USA),EACH,400,THB,IV6703010,3/1/2024
1390,186,BAM7XAT0030A,PALLET TREAT (1020x1220x127 mm.) BXU (USA),EACH,400,THB,IV6703095,3/6/2024
1390,186,BAM7XAT0030A,PALLET TREAT (1020x1220x127 mm.) BXU (USA),EACH,400,THB,IV6703172,3/11/2024
1390,187,BAM7XAT0030A,PALLET TREAT (1020x1220x127 mm.) BXU (USA),EACH,400,THB,IV6703301,3/18/2024
1390,187,BAM7XAT0030A,PALLET TREAT (1020x1220x127 mm.) BXU (USA),EACH,400,THB,IV6703425,3/25/2024
1390,186,BAM7XAT0040A,PALLET TREAT (1100x1160x116 mm.) AUSTRALIA,EACH,685,THB,IV6703010,3/1/2024
1390,186,BAM7XAT0050A,PALLET TREAT (1100x1100x116mm.) KEIYO AEON CGC,EACH,370,THB,IV6703172,3/11/2024
1390,186,BAM7XAT0080A,PALLET TREAT (1,100x1,100x130 mm.) XJ,EACH,411,THB,IV6703010,3/1/2024
1390,186,BAM7XAT0080A,PALLET TREAT (1,100x1,100x130 mm.) XJ,EACH,411,THB,IV6703066,3/4/2024
1390,186,BAM7XAT0080A,PALLET TREAT (1,100x1,100x130 mm.) XJ,EACH,411,THB,IV6703095,3/6/2024
1390,186,BAM7XAT0080A,PALLET TREAT (1,100x1,100x130 mm.) XJ,EACH,411,THB,IV6703172,3/11/2024
1390,187,BAM7XAT0080A,PALLET TREAT (1,100x1,100x130 mm.) XJ,EACH,411,THB,IV6703301,3/18/2024
1390,187,BAM7XAT0080A,PALLET TREAT (1,100x1,100x130 mm.) XJ,EACH,411,THB,IV6703425,3/25/2024
1319,144,BAM7XAT013EA,Plywood for Pallet 1100x1100x t=5 mm,EACH,145,THB,IV6703067,3/4/2024
